"ZIP
code [1]",Size of adjusted gross income,Amount
00000,Total,"88,176,448"
00000,"$1 under $25,000",6147087
00000,"$25,000 under $50,000",13176752
00000,"$50,000 under $75,000",13788724
00000,"$75,000 under $100,000",13300378
00000,"$100,000 under $200,000",24401765
00000,"$200,000 or more",17361742
,,
50001,,"17,500"
50001,"$1 under $25,000",792
50001,"$25,000 under $50,000",2280
50001,"$50,000 under $75,000",2330
50001,"$75,000 under $100,000",4345
50001,"$100,000 under $200,000",7753
50001,"$200,000 or more",**
,,
50002,,"31,823"
50002,"$1 under $25,000",2165
50002,"$25,000 under $50,000",6356
50002,"$50,000 under $75,000",7103
50002,"$75,000 under $100,000",6032
50002,"$100,000 under $200,000",10167
50002,"$200,000 or more",**
,,
50003,,"297,968"
50003,"$1 under $25,000",11051
50003,"$25,000 under $50,000",24066
50003,"$50,000 under $75,000",28082
50003,"$75,000 under $100,000",32133
50003,"$100,000 under $200,000",93113
50003,"$200,000 or more",109523
,,
50005,,"14,152"
50005,"$1 under $25,000",1530
50005,"$25,000 under $50,000",3370
50005,"$50,000 under $75,000",3129
50005,"$75,000 under $100,000",3188
50005,"$100,000 under $200,000",2935
50005,"$200,000 or more",**
,,
50006,,"41,532"
50006,"$1 under $25,000",2927
50006,"$25,000 under $50,000",7366
50006,"$50,000 under $75,000",8242
50006,"$75,000 under $100,000",8078
50006,"$100,000 under $200,000",14919
50006,"$200,000 or more",**
,,
50007,,"19,427"
50007,"$1 under $25,000",904
50007,"$25,000 under $50,000",1559
50007,"$50,000 under $75,000",2115
50007,"$75,000 under $100,000",3206
50007,"$100,000 under $200,000",11643
50007,"$200,000 or more",**
,,
50008,,"14,720"
50008,"$1 under $25,000",1582
50008,"$25,000 under $50,000",4624
50008,"$50,000 under $75,000",3668
50008,"$75,000 under $100,000",2260
50008,"$100,000 under $200,000",2586
50008,"$200,000 or more",**
,,
50009,,"560,010"
50009,"$1 under $25,000",29640
50009,"$25,000 under $50,000",72728
50009,"$50,000 under $75,000",83096
50009,"$75,000 under $100,000",96623
50009,"$100,000 under $200,000",205877
50009,"$200,000 or more",72046
,,
50010,,"897,408"
50010,"$1 under $25,000",61441
50010,"$25,000 under $50,000",112564
50010,"$50,000 under $75,000",118226
50010,"$75,000 under $100,000",120451
50010,"$100,000 under $200,000",285928
50010,"$200,000 or more",198798
,,
50014,,"707,198"
50014,"$1 under $25,000",50084
50014,"$25,000 under $50,000",69590
50014,"$50,000 under $75,000",62935
50014,"$75,000 under $100,000",73783
50014,"$100,000 under $200,000",218102
50014,"$200,000 or more",232704
,,
50020,,"34,539"
50020,"$1 under $25,000",2877
50020,"$25,000 under $50,000",6932
50020,"$50,000 under $75,000",6151
50020,"$75,000 under $100,000",6089
50020,"$100,000 under $200,000",12490
50020,"$200,000 or more",**
,,
50021,,"1,022,872"
50021,"$1 under $25,000",37120
50021,"$25,000 under $50,000",99436
50021,"$50,000 under $75,000",117510
50021,"$75,000 under $100,000",137168
50021,"$100,000 under $200,000",353454
50021,"$200,000 or more",278184
,,
50022,,"210,121"
50022,"$1 under $25,000",18977
50022,"$25,000 under $50,000",36459
50022,"$50,000 under $75,000",39981
50022,"$75,000 under $100,000",29353
50022,"$100,000 under $200,000",47760
50022,"$200,000 or more",37591
,,
50023,,"1,265,795"
50023,"$1 under $25,000",43264
50023,"$25,000 under $50,000",106936
50023,"$50,000 under $75,000",142946
50023,"$75,000 under $100,000",183438
50023,"$100,000 under $200,000",479452
50023,"$200,000 or more",309759
,,
50025,,"102,835"
50025,"$1 under $25,000",6576
50025,"$25,000 under $50,000",14124
50025,"$50,000 under $75,000",14639
50025,"$75,000 under $100,000",12764
50025,"$100,000 under $200,000",21514
50025,"$200,000 or more",33218
,,
50026,,"11,351"
50026,"$1 under $25,000",1108
50026,"$25,000 under $50,000",2314
50026,"$50,000 under $75,000",2745
50026,"$75,000 under $100,000",2300
50026,"$100,000 under $200,000",2884
50026,"$200,000 or more",**
,,
50027,,"5,165"
50027,"$1 under $25,000",784
50027,"$25,000 under $50,000",1411
50027,"$50,000 under $75,000",2970
50027,"$75,000 under $100,000",**
50027,"$100,000 under $200,000",**
50027,"$200,000 or more",**
,,
50028,,"41,285"
50028,"$1 under $25,000",2779
50028,"$25,000 under $50,000",6617
50028,"$50,000 under $75,000",7997
50028,"$75,000 under $100,000",7758
50028,"$100,000 under $200,000",16134
50028,"$200,000 or more",**
,,
50029,,"11,874"
50029,"$1 under $25,000",1450
50029,"$25,000 under $50,000",3146
50029,"$50,000 under $75,000",3841
50029,"$75,000 under $100,000",3437
50029,"$100,000 under $200,000",**
50029,"$200,000 or more",**
,,
50034,,"12,477"
