Id,Id2,Geography,Estimate; Total:,Under 50K,Over 50K
0400000US19,19,Iowa,1236409,579398,657011
8600000US50001,50001,ZCTA5 50001,234,94,140
8600000US50002,50002,ZCTA5 50002,629,322,307
8600000US50003,50003,ZCTA5 50003,2700,924,1776
8600000US50005,50005,ZCTA5 50005,335,117,218
8600000US50006,50006,ZCTA5 50006,625,316,309
8600000US50007,50007,ZCTA5 50007,198,47,151
8600000US50008,50008,ZCTA5 50008,393,272,121
8600000US50009,50009,ZCTA5 50009,6586,2214,4372
8600000US50010,50010,ZCTA5 50010,13549,6947,6602
8600000US50011,50011,ZCTA5 50011,0,0,0
8600000US50012,50012,ZCTA5 50012,7,7,0
8600000US50014,50014,ZCTA5 50014,11817,6948,4869
8600000US50020,50020,ZCTA5 50020,585,319,266
8600000US50021,50021,ZCTA5 50021,9870,2912,6958
8600000US50022,50022,ZCTA5 50022,3804,2317,1487
8600000US50023,50023,ZCTA5 50023,11137,3155,7982
8600000US50025,50025,ZCTA5 50025,1444,722,722
8600000US50026,50026,ZCTA5 50026,305,164,141
8600000US50027,50027,ZCTA5 50027,140,78,62
8600000US50028,50028,ZCTA5 50028,615,232,383
8600000US50029,50029,ZCTA5 50029,279,133,146
8600000US50032,50032,ZCTA5 50032,32,32,0
8600000US50033,50033,ZCTA5 50033,12,5,7
8600000US50034,50034,ZCTA5 50034,147,70,77
8600000US50035,50035,ZCTA5 50035,1994,611,1383
8600000US50036,50036,ZCTA5 50036,6859,3328,3531
8600000US50038,50038,ZCTA5 50038,68,42,26
8600000US50039,50039,ZCTA5 50039,212,72,140
8600000US50041,50041,ZCTA5 50041,36,29,7
8600000US50042,50042,ZCTA5 50042,147,86,61
8600000US50044,50044,ZCTA5 50044,429,212,217
8600000US50046,50046,ZCTA5 50046,482,184,298
8600000US50047,50047,ZCTA5 50047,2208,916,1292
8600000US50048,50048,ZCTA5 50048,341,175,166
8600000US50049,50049,ZCTA5 50049,2805,1573,1232
8600000US50050,50050,ZCTA5 50050,300,168,132
8600000US50051,50051,ZCTA5 50051,161,64,97
8600000US50052,50052,ZCTA5 50052,78,35,43
8600000US50054,50054,ZCTA5 50054,1217,542,675
8600000US50055,50055,ZCTA5 50055,363,128,235
8600000US50056,50056,ZCTA5 50056,537,237,300
8600000US50057,50057,ZCTA5 50057,86,29,57
8600000US50058,50058,ZCTA5 50058,797,388,409
8600000US50060,50060,ZCTA5 50060,986,512,474
8600000US50061,50061,ZCTA5 50061,674,194,480
8600000US50062,50062,ZCTA5 50062,258,151,107
8600000US50063,50063,ZCTA5 50063,967,302,665
8600000US50064,50064,ZCTA5 50064,46,36,10
8600000US50065,50065,ZCTA5 50065,262,174,88
8600000US50066,50066,ZCTA5 50066,146,82,64
8600000US50067,50067,ZCTA5 50067,98,55,43
8600000US50068,50068,ZCTA5 50068,116,55,61
8600000US50069,50069,ZCTA5 50069,462,191,271
8600000US50070,50070,ZCTA5 50070,635,215,420
8600000US50071,50071,ZCTA5 50071,412,216,196
8600000US50072,50072,ZCTA5 50072,1042,332,710
8600000US50073,50073,ZCTA5 50073,430,177,253
8600000US50074,50074,ZCTA5 50074,201,70,131
8600000US50075,50075,ZCTA5 50075,308,139,169
8600000US50076,50076,ZCTA5 50076,710,412,298
8600000US50078,50078,ZCTA5 50078,61,35,26
8600000US50101,50101,ZCTA5 50101,32,12,20
8600000US50102,50102,ZCTA5 50102,34,5,29
8600000US50103,50103,ZCTA5 50103,172,94,78
8600000US50104,50104,ZCTA5 50104,56,32,24
8600000US50105,50105,ZCTA5 50105,429,108,321
8600000US50106,50106,ZCTA5 50106,481,169,312
8600000US50107,50107,ZCTA5 50107,461,231,230
8600000US50108,50108,ZCTA5 50108,202,142,60
8600000US50109,50109,ZCTA5 50109,1115,385,730
8600000US50111,50111,ZCTA5 50111,4063,972,3091
8600000US50112,50112,ZCTA5 50112,4406,2248,2158
8600000US50115,50115,ZCTA5 50115,1107,590,517
8600000US50116,50116,ZCTA5 50116,81,55,26
8600000US50117,50117,ZCTA5 50117,63,36,27
8600000US50118,50118,ZCTA5 50118,399,134,265
8600000US50119,50119,ZCTA5 50119,201,80,121
8600000US50120,50120,ZCTA5 50120,111,30,81
8600000US50122,50122,ZCTA5 50122,574,232,342
8600000US50123,50123,ZCTA5 50123,355,195,160
8600000US50124,50124,ZCTA5 50124,1440,497,943
8600000US50125,50125,ZCTA5 50125,7367,3273,4094
8600000US50126,50126,ZCTA5 50126,2766,1386,1380
8600000US50127,50127,ZCTA5 50127,9,9,0
8600000US50128,50128,ZCTA5 50128,143,62,81
8600000US50129,50129,ZCTA5 50129,2205,1190,1015
8600000US50130,50130,ZCTA5 50130,673,278,395
8600000US50131,50131,ZCTA5 50131,7671,1767,5904
8600000US50132,50132,ZCTA5 50132,155,109,46
8600000US50133,50133,ZCTA5 50133,186,124,62
8600000US50134,50134,ZCTA5 50134,244,56,188
8600000US50135,50135,ZCTA5 50135,716,343,373
8600000US50136,50136,ZCTA5 50136,162,82,80
8600000US50138,50138,ZCTA5 50138,4772,2361,2411
8600000US50139,50139,ZCTA5 50139,577,241,336
8600000US50140,50140,ZCTA5 50140,1078,692,386
8600000US50141,50141,ZCTA5 50141,240,95,145
8600000US50142,50142,ZCTA5 50142,396,171,225
8600000US50143,50143,ZCTA5 50143,212,42,170
8600000US50144,50144,ZCTA5 50144,1045,637,408
8600000US50146,50146,ZCTA5 50146,147,92,55
8600000US50147,50147,ZCTA5 50147,201,115,86
8600000US50148,50148,ZCTA5 50148,200,109,91
8600000US50149,50149,ZCTA5 50149,423,259,164
8600000US50150,50150,ZCTA5 50150,435,261,174
8600000US50151,50151,ZCTA5 50151,243,127,116
8600000US50153,50153,ZCTA5 50153,343,109,234
8600000US50154,50154,ZCTA5 50154,180,103,77
8600000US50155,50155,ZCTA5 50155,147,108,39
8600000US50156,50156,ZCTA5 50156,1723,647,1076
8600000US50157,50157,ZCTA5 50157,296,152,144
8600000US50158,50158,ZCTA5 50158,11569,5449,6120
8600000US50160,50160,ZCTA5 50160,185,87,98
8600000US50161,50161,ZCTA5 50161,839,279,560
8600000US50162,50162,ZCTA5 50162,548,198,350
8600000US50163,50163,ZCTA5 50163,386,283,103
8600000US50164,50164,ZCTA5 50164,243,133,110
8600000US50165,50165,ZCTA5 50165,14,5,9
8600000US50166,50166,ZCTA5 50166,606,204,402
8600000US50167,50167,ZCTA5 50167,238,105,133
8600000US50168,50168,ZCTA5 50168,302,118,184
8600000US50169,50169,ZCTA5 50169,1051,446,605
8600000US50170,50170,ZCTA5 50170,1141,469,672
8600000US50171,50171,ZCTA5 50171,1133,430,703
8600000US50173,50173,ZCTA5 50173,311,107,204
8600000US50174,50174,ZCTA5 50174,569,339,230
8600000US50201,50201,ZCTA5 50201,3424,1267,2157
8600000US50206,50206,ZCTA5 50206,142,68,74
8600000US50207,50207,ZCTA5 50207,954,368,586
8600000US50208,50208,ZCTA5 50208,7868,3931,3937
8600000US50210,50210,ZCTA5 50210,632,210,422
8600000US50211,50211,ZCTA5 50211,4543,1199,3344
8600000US50212,50212,ZCTA5 50212,1357,615,742
8600000US50213,50213,ZCTA5 50213,2755,1594,1161
8600000US50214,50214,ZCTA5 50214,267,34,233
8600000US50216,50216,ZCTA5 50216,1080,471,609
8600000US50217,50217,ZCTA5 50217,285,153,132
8600000US50218,50218,ZCTA5 50218,57,29,28
8600000US50219,50219,ZCTA5 50219,5053,1876,3177
8600000US50220,50220,ZCTA5 50220,3235,1724,1511
8600000US50222,50222,ZCTA5 50222,202,105,97
8600000US50223,50223,ZCTA5 50223,224,136,88
8600000US50225,50225,ZCTA5 50225,1214,470,744
8600000US50226,50226,ZCTA5 50226,1978,312,1666
8600000US50227,50227,ZCTA5 50227,7,1,6
8600000US50228,50228,ZCTA5 50228,947,353,594
8600000US50229,50229,ZCTA5 50229,315,84,231
8600000US50230,50230,ZCTA5 50230,437,164,273
8600000US50231,50231,ZCTA5 50231,78,45,33
8600000US50232,50232,ZCTA5 50232,199,69,130
8600000US50233,50233,ZCTA5 50233,573,245,328
8600000US50234,50234,ZCTA5 50234,284,93,191
8600000US50235,50235,ZCTA5 50235,162,74,88
8600000US50236,50236,ZCTA5 50236,625,195,430
