LocID,ALIAS,Facility Type,FAA REGION,STATE,AP Type,Latitude,Longitude,ARPElevation,Runway_ct
STX,Henry E Rohlsen Int'l Airport,Airport,ASO,VI,Public Use,17.701556,-64.801722,74,1
X64,,Airport,ASO,PR,Public Use,17.982189,-66.01933,,
PSE,Aeropuerto Mercedita,Airport,ASO,PR,Public Use,18.008306,-66.563028,28,1
VQS,Aeropuerto Antonio Rivera Rodr�guez,Airport,ASO,PR,Public Use,18.134811,-65.493617,49,1
X63,Aeropuerto Regional De Humacao,Airport,ASO,PR,Public Use,18.138017,-65.800718,33,1
RVR,Aeropuerto Jos� Aponte De La Torre,Airport,ASO,PR,Public Use,18.245269,-65.643381,38,1
MAZ,Aeropuerto Eugenio Mar�a De Hostos,Airport,ASO,PR,Public Use,18.255694,-67.148472,27,1
X95,,Airport,ASO,PR,Public Use,18.30801,-65.661828,,
CPX,,Airport,ASO,PR,Public Use,18.313289,-65.304324,49,1
STT,Cyril E King International Airport,Airport,ASO,VI,Public Use,18.337306,-64.973361,23,1
SJU,Aeropuerto Int'l Luis Mu�oz Marin,Airport,ASO,PR,Federalized/Commercial,18.439295,-66.002004,9,2
ABO,Aeropuerto Antonio Juarbe,Airport,ASO,PR,Public Use,18.451111,-66.675556,20,1
SIG,Aeropuerto De La Isla Grande,Airport,ASO,PR,Public Use,18.456791,-66.098463,9,1
BQN,Aeropuerto Rafael Hern�ndez,Airport,ASO,PR,Public Use,18.494861,-67.129444,237,1
ITO,Hilo Int'l Airport,Airport,AWP,HI,Public Use,19.720263,-155.04847,37,2
KOA,Kona Int'l Airport At Keahole,Airport,AWP,HI,Public Use,19.738766,-156.045631,47,1
MUE,Waimea-Kohala Airport,Airport,AWP,HI,Public Use,20.001327,-155.668107,2671,1
UPP,Upolu Airport,Airport,AWP,HI,Public Use,20.265194,-155.859944,96,1
LNY,Lanai Airport,Airport,AWP,HI,Public Use,20.785611,-156.951418,1308,1
HNM,Hana Airport,Airport,AWP,HI,Public Use,20.795637,-156.014438,77,1
OGG,Kahului Airport,Airport,AWP,HI,Federalized/Commercial,20.89865,-156.430458,53,3
MKK,Molokai Airport,Airport,AWP,HI,Public Use,21.152886,-157.096256,453,2
LUP,Kalaupapa Airport,Airport,AWP,HI,Public Use,21.21104,-156.973597,23,1
JRF,Kalaeloa Airport,Airport,AWP,HI,Public Use,21.307354,-158.070302,30,3
HNL,Honolulu Int'l Airport,Airport,AWP,HI,Federalized/Commercial,21.318681,-157.922429,12,6
HDH,Dillingham Airfield,Airport,AWP,HI,Public Use,21.579474,-158.197281,14,1
PAK,Port Allen Airport,Airport,AWP,HI,Public Use,21.896944,-159.603167,24,1
LIH,Lihue Airport,Airport,AWP,HI,Public Use,21.975983,-159.338958,152,5
EYW,Key West Int'l Airport,Airport,ASO,FL,Federalized/Commercial,24.556111,-81.759556,2,1
MTH,Marathon Airport,Airport,ASO,FL,Public Use,24.726194,-81.051361,5,1
X51,Homestead General Aviation Airport,Airport,ASO,FL,Public Use,25.499231,-80.554245,7,3
TMB,Kendall-Tamiami Executive Airport,Airport,ASO,FL,Public Use,25.647564,-80.433225,10,4
X44,,Airport,ASO,FL,Public Use,25.778333,-80.170278,6,2
MIA,Miami Int'l Airport,Airport,ASO,FL,Federalized/Commercial,25.795361,-80.290111,8,4
X01,,Airport,ASO,FL,Public Use,25.848861,-81.390278,5,1
TNT,Dade-Collier Training Airport,Airport,ASO,FL,Public Use,25.861806,-80.897,12,1
BRO,Brownsville-S Padre Is Int'l Arpt,Airport,ASW,TX,Public Use,25.906833,-97.425833,22,2
OPF,Opa-Locka Airport,Airport,ASO,FL,Public Use,25.907417,-80.278222,8,4
MKY,Marco Island Executive Airport,Airport,ASO,FL,Public Use,25.995028,-81.672528,5,1
HWO,North Perry Airport,Airport,ASO,FL,Public Use,26.001222,-80.240722,8,4
FLL,Ft Lauderdale/Hollywood Int'l Arpt,Airport,ASO,FL,Federalized/Commercial,26.072596,-80.152741,64,2
DT1,,Airport,ASO,FL,Public Use,26.120464,-80.142055,114,1
APF,Naples Municipal Airport,Airport,ASO,FL,Public Use,26.152278,-81.775806,8,3
PIL,Port Isabel-Cameron County Airport,Airport,ASW,TX,Public Use,26.166194,-97.345889,18,4
MFE,Mcallen-Miller Int'l Airport,Airport,ASW,TX,Federalized/Commercial,26.175833,-98.238611,107,2
T65,Mid Valley Airport,Airport,ASW,TX,Public Use,26.177639,-97.973056,69,1
FXE,Fort Lauderdale Executive Airport,Airport,ASO,FL,Public Use,26.197279,-80.170706,13,2
HRL,Valley Int'l Airport,Airport,ASW,TX,Public Use,26.227111,-97.655139,36,3
PMP,Pompano Beach Airpark,Airport,ASO,FL,Public Use,26.247139,-80.111056,19,3
BCT,Boca Raton Airport,Airport,ASO,FL,Public Use,26.3785,-80.107694,13,1
67R,,Airport,ASW,TX,Public Use,26.424283,-98.846081,290,1
IMM,Immokalee Regional Airport,Airport,ASO,FL,Public Use,26.433821,-81.401377,36,2
EBG,,Airport,ASW,TX,Public Use,26.441667,-98.122222,75,1
RSW,Southwest Florida Int'l Airport,Airport,ASO,FL,Federalized/Commercial,26.536167,-81.755167,29,1
T05,,Airport,ASW,TX,Public Use,26.562843,-97.437759,10,1
FMY,Page Field Airport,Airport,ASO,FL,Public Use,26.586611,-81.86325,17,2
LNA,Palm Beach County Park Airport,Airport,ASO,FL,Public Use,26.593056,-80.085065,14,3
PBI,Palm Beach Int'l Airport,Airport,ASO,FL,Federalized/Commercial,26.683167,-80.095583,19,3
X10,,Airport,ASO,FL,Public Use,26.698306,-80.660806,14,1
2IS,Airglades Airport,Airport,ASO,FL,Public Use,26.735167,-81.051056,19,1
X14,La Belle Municipal Airport,Airport,ASO,FL,Public Use,26.740583,-81.428278,20,1
PHK,Palm Beach County Glades Airport,Airport,ASO,FL,Public Use,26.785028,-80.693361,15,1
F45,North Palm Beach County Airport,Airport,ASO,FL,Public Use,26.845917,-80.222333,22,3
PGD,Charlotte County Airport,Airport,ASO,FL,Federalized/Commercial,26.918938,-81.990926,25,3
F13,,Airport,ASO,FL,Public Use,26.968611,-81.916306,20,1
APY,,Airport,ASW,TX,Public Use,26.968786,-99.248908,422,1
X36,Buchan Airport,Airport,ASO,FL,Public Use,26.990081,-82.374018,15,1
X58,,Airport,ASO,FL,Public Use,27.0375,-80.441,30,1
VNC,Venice Municipal Airport,Airport,ASO,FL,Public Use,27.071611,-82.440333,17,2
SUA,Martin County Airport-Witham Field,Airport,ASO,FL,Public Use,27.1817,-80.221294,16,3
X06,Arcadia Municipal Airport,Airport,ASO,FL,Public Use,27.195609,-81.837228,63,2
BKS,Brooks County Airport,Airport,ASW,TX,Public Use,27.206024,-98.121038,111,2
OBE,Okeechobee County Airport,Airport,ASO,FL,Public Use,27.266583,-80.850389,33,2
HBV,Jim Hogg County Airport,Airport,ASW,TX,Public Use,27.349556,-98.736944,662,1
SRQ,Sarasota/Bradenton Int'l Airport,Airport,ASO,FL,Federalized/Commercial,27.395444,-82.554389,29,2
SEF,Sebring Regional Airport,Airport,ASO,FL,Public Use,27.456389,-81.342389,61,2
FPR,St Lucie County Int'l Airport,Airport,ASO,FL,Public Use,27.497472,-80.372639,23,3
