,FAA Region,ST,Locid,City,Airport Name,Hub,04-14 perc. enplanements,Total Enplanements
0,SO,GA,ATL,Atlanta,Hartsfield - Jackson Atlanta International,L,6%,"479,413,675"
1,WP,CA,LAX,Los Angeles,Los Angeles International,L,4%,"331,523,148"
2,GL,IL,ORD,Chicago,Chicago O'Hare International,L,5%,"373,383,745"
3,SW,TX,DFW,Fort Worth,Dallas-Fort Worth International,L,4%,"309,620,230"
4,EA,NY,JFK,New York,John F Kennedy International,L,3%,"252,052,440"
5,NM,CO,DEN,Denver,Denver International,L,3%,"264,655,008"
6,WP,CA,SFO,San Francisco International Airport,San Francisco International,L,3%,"206,971,826"
7,SO,NC,CLT,Charlotte,Charlotte/Douglas International,L,2%,"192,860,091"
8,WP,NV,LAS,Las Vegas,McCarran International,L,3%,"225,778,000"
9,WP,AZ,PHX,Phoenix,Phoenix Sky Harbor International,L,3%,"217,138,271"
10,SO,FL,MIA,Miami,Miami International,L,2%,"187,271,418"
11,SW,TX,IAH,Houston,George Bush Intercontinental/Houston,L,3%,"213,521,051"
12,NM,WA,SEA,Seattle,Seattle-Tacoma International,L,2%,"171,764,872"
13,SO,FL,MCO,Orlando,Orlando International,L,2%,"185,534,654"
14,EA,NJ,EWR,Newark,Newark Liberty International,L,2%,"188,261,162"
15,GL,MN,MSP,Minneapolis,Minneapolis-St Paul International/Wold-Chamberlain,L,2%,"182,135,432"
16,NE,MA,BOS,Boston,General Edward Lawrence Logan International,L,2%,"151,042,031"
17,GL,MI,DTW,Detroit,Detroit Metropolitan Wayne County,L,2%,"180,234,816"
18,EA,PA,PHL,Philadelphia,Philadelphia International,L,2%,"164,782,270"
19,EA,NY,LGA,New York,Laguardia,L,2%,"137,151,434"
20,SO,FL,FLL,Fort Lauderdale,Fort Lauderdale/Hollywood International,L,1%,"120,509,483"
21,EA,MD,BWI,Glen Burnie,Baltimore/Washington International Thurgood Marshall,L,1%,"116,529,893"
22,EA,VA,DCA,Arlington,Ronald Reagan Washington National,L,1%,"98,697,396"
23,GL,IL,MDW,Chicago,Chicago Midway International,L,1%,"99,262,983"
