Facility,Calendar Year,Itinerant Air Carrier,Itinerant Air Taxi,Itinerant General Aviation,Itinerant Military,Itinerant Total,Local Civil,Local Military,Local Total,Total Operations
ABE,2004,"20,870","19,058","56,624","2,275","98,827","32,851","1,420","34,271","133,098"
ABE,2005,"19,965","18,056","50,654","1,738","90,413","34,789","1,030","35,819","126,232"
ABE,2006,"17,613","18,367","45,735","1,447","83,162","37,727",884,"38,611","121,773"
ABE,2007,"16,668","13,732","44,171",933,"75,504","44,589",472,"45,061","120,565"
ABE,2008,"11,773","15,102","39,911",873,"67,659","49,663",936,"50,599","118,258"
ABE,2009,"4,523","18,020","30,513",644,"53,700","48,300",576,"48,876","102,576"
ABE,2010,"5,051","16,998","31,238",631,"53,918","41,565",275,"41,840","95,758"
ABE,2011,"4,428","19,451","30,541",564,"54,984","39,818",180,"39,998","94,982"
ABE,2012,"4,249","17,241","30,914",608,"53,012","45,902",146,"46,048","99,060"
ABE,2013,"3,636","13,985","30,825",414,"48,860","59,103",145,"59,248","108,108"
ABE,2014,"4,057","12,122","32,354",475,"49,008","52,087",142,"52,229","101,237"
ABE,2015,"4,431","11,356","26,926",441,"43,154","44,738",192,"44,930","88,084"
Sub-Total for ABE,,"117,264","193,488","450,406","11,043","772,201","531,132","6,398","537,530","1,309,731"
ABI,2004,260,"11,854","18,634","8,727","39,475","15,773","18,359","34,132","73,607"
ABI,2005,152,"13,226","20,181","8,417","41,976","17,121","16,970","34,091","76,067"
ABI,2006,353,"14,293","22,480","8,662","45,788","16,408","16,448","32,856","78,644"
ABI,2007,354,"14,130","22,682","8,762","45,928","19,253","15,302","34,555","80,483"
ABI,2008,305,"12,872","26,842","14,015","54,034","13,772","17,309","31,081","85,115"
ABI,2009,363,"11,020","20,167","11,256","42,806","9,047","11,622","20,669","63,475"
ABI,2010,397,"10,187","21,055","7,853","39,492","10,398","10,048","20,446","59,938"
ABI,2011,330,"10,456","22,339","8,645","41,770","7,959","10,191","18,150","59,920"
ABI,2012,225,"10,075","22,933","5,913","39,146","10,571","10,738","21,309","60,455"
ABI,2013,217,"10,903","21,426","7,718","40,264","12,649","12,496","25,145","65,409"
ABI,2014,226,"10,317","18,205","8,443","37,191","7,631","10,778","18,409","55,600"
ABI,2015,289,"9,275","17,182","7,344","34,090","10,378","10,170","20,548","54,638"
Sub-Total for ABI,,"3,471","138,608","254,126","105,755","501,960","150,960","160,431","311,391","813,351"
ABQ,2004,"74,366","49,860","41,353","21,053","186,632","3,343","7,682","11,025","197,657"
ABQ,2005,"74,909","47,899","38,953","23,683","185,444","4,698","6,557","11,255","196,699"
ABQ,2006,"73,813","43,364","39,677","23,509","180,363","4,620","7,258","11,878","192,241"
ABQ,2007,"77,184","45,209","40,976","18,956","182,325","3,740","4,715","8,455","190,780"
ABQ,2008,"75,770","42,119","37,468","18,105","173,462","3,261","3,830","7,091","180,553"
ABQ,2009,"68,290","33,621","29,864","17,891","149,666","3,665","5,198","8,863","158,529"
ABQ,2010,"66,095","33,780","27,927","16,878","144,680","4,398","7,538","11,936","156,616"
ABQ,2011,"65,500","34,299","26,144","15,534","141,477","5,420","7,243","12,663","154,140"
ABQ,2012,"60,670","31,568","26,679","17,147","136,064","4,444","7,216","11,660","147,724"
ABQ,2013,"55,559","29,478","26,422","15,509","126,968","4,650","5,297","9,947","136,915"
ABQ,2014,"51,730","27,948","28,548","16,683","124,909","2,930","2,230","5,160","130,069"
ABQ,2015,"49,603","25,089","27,243","17,218","119,153","3,281","1,750","5,031","124,184"
Sub-Total for ABQ,,"793,489","444,234","391,254","222,166","1,851,143","48,450","66,514","114,964","1,966,107"
ABY,2004,124,"5,455","18,970","3,676","28,225","18,687","10,045","28,732","56,957"
ABY,2005,252,"6,072","18,681","3,826","28,831","17,289","6,904","24,193","53,024"
ABY,2006,205,"6,510","15,487","4,257","26,459","7,165","9,124","16,289","42,748"
ABY,2007,116,"6,548","14,706","2,035","23,405","7,262","5,269","12,531","35,936"
ABY,2008,134,"5,355","12,697","1,674","19,860","6,391","4,162","10,553","30,413"
