Rank,FAA Region,ADO,ST,Locid,Airport Name,City,Service Level,Hub,2004-2014 Percentage,2004-2014 (lbs),2014 (lbs),2013 (lbs),2012 (lbs),2011 (lbs),2010 (lbs),2009 (lbs),2008 (lbs),2007 (lbs),2006 (lbs),2005 (lbs),2004 (lbs)
1,SO,MEM,TN,MEM,Memphis International,Memphis,P,M,14%,"179,733,424,375","22,774,592,279","21,891,425,638","20,983,699,672","20,303,149,106","19,544,635,833","18,928,729,202","  19,500,093,674","  19,543,815,307","18,849,280,923","18,686,994,805","17,770,916,917"
2,AL,AAL,AK,ANC,Ted Stevens Anchorage International,Anchorage,P,M,13%,"162,727,555,999","15,867,941,046","15,982,410,652","16,522,948,234","17,774,071,223","19,463,543,790","15,524,360,013","  17,951,597,580","  21,124,325,138","21,175,636,186","20,727,877,604","19,688,767,251"
3,SO,MEM,KY,SDF,Louisville International-Standiford Field,Louisville,P,S,7%,"93,814,594,530","11,568,369,154","11,264,596,650","11,096,369,031","10,981,281,067","10,637,700,120","10,278,035,711","  10,445,498,827","  10,431,225,402","10,029,513,073","9,182,114,119","8,776,615,605"
5,SO,ORL,FL,MIA,Miami International,Miami,P,L,5%,"62,209,338,836","7,192,790,882","6,847,177,300","7,147,983,325","6,634,448,852","6,905,291,871","6,352,786,009","  6,988,513,672","  7,430,213,907","7,181,475,239","7,100,687,646","6,846,697,712"
4,GL,CHI,IL,ORD,Chicago O'Hare International,Chicago,P,L,4%,"45,682,918,168","7,541,411,779","6,864,249,348","4,555,097,891","4,368,420,500","4,895,940,100","3,499,701,350","  4,206,916,900","  4,401,472,100","4,415,852,850","4,824,115,650","4,718,128,700"
6,GL,CHI,IN,IND,Indianapolis International,Indianapolis,P,M,4%,"44,641,105,183","5,355,984,715","5,268,916,355","4,940,121,920","4,813,314,835","4,717,295,655","4,575,418,342","  5,128,484,161","  5,304,551,447","5,253,022,547","5,089,384,528","4,627,646,286"
7,WP,LAX,CA,LAX,Los Angeles International,Los Angeles,P,L,3%,"43,699,497,382","4,297,359,912","4,199,375,809","4,204,996,790","4,043,122,100","3,954,810,091","3,768,864,700","  5,751,595,501","  6,861,236,224","7,253,305,000","5,853,276,500","6,124,386,480"
9,EA,NYC,NY,JFK,John F Kennedy International,New York,P,L,3%,"37,737,600,836","3,170,996,874","3,372,770,377","3,494,647,375","3,944,502,109","3,923,400,051","3,181,559,852","  4,444,315,500","  5,113,997,320","5,230,679,818","5,622,506,380","5,796,538,000"
10,SW,TEX,TX,DFW,Dallas/Fort Worth International,Fort Worth,P,L,2%,"27,876,262,368","3,140,733,270","3,062,528,160","3,087,615,175","3,064,264,844","3,031,597,346","2,872,971,976","  3,228,104,260","  3,506,730,222","3,444,283,437","3,310,319,217","2,861,948,943"
12,EA,NYC,NJ,EWR,Newark Liberty International,Newark,P,L,2%,"27,847,058,810","2,499,283,148","2,533,226,761","2,854,009,886","3,049,215,532","2,978,995,667","2,928,640,538","  3,453,120,325","  3,746,803,900","3,733,892,989","3,740,721,280","3,529,073,009"
11,WP,SFO,CA,OAK,Metropolitan Oakland International,Oakland,P,M,2%,"26,930,232,693","2,954,355,995","2,723,772,301","2,646,418,994","2,679,671,476","2,648,094,390","2,681,144,418","  3,484,046,450","  3,622,968,767","3,596,006,754","3,594,982,705","3,405,785,660"
13,WP,LAX,CA,ONT,Ontario International,Ontario,P,M,2%,"22,126,491,691","2,360,845,923","2,371,732,316","2,361,837,263","2,313,849,963","2,241,182,912","2,336,057,158","  2,699,776,864","  2,788,665,658","2,801,537,034","2,687,742,160","2,651,706,962"
14,SO,ATL,GA,ATL,Hartsfield - Jackson Atlanta International,Atlanta,P,L,2%,"21,028,609,790","2,262,892,910","2,187,228,002","2,027,932,736","2,655,614,700","2,628,040,410","2,555,242,350","  2,334,922,810","  2,522,600,500","2,359,704,572","2,027,135,114","2,324,818,996"
8,SO,MEM,KY,CVG,Cincinnati/Northern Kentucky International,Greater Cincinnati International Airport,P,M,2%,"20,742,201,273","3,644,404,568","3,422,731,214","3,188,275,844","2,819,377,048","2,431,870,514","1,127,694,335","  207,350,722","  194,138,700","200,957,285","1,624,594,415","2,282,296,050"
16,EA,HAR,PA,PHL,Philadelphia International,Philadelphia,P,L,2%,"20,165,465,289","1,927,756,545","1,884,230,897","1,883,576,381","1,949,469,667","1,987,519,867","2,263,373,275","  2,527,521,975","  2,750,821,409","2,725,049,647","2,801,700,462","2,742,788,548"
15,WP,HNL,HI,HNL,Honolulu International,Honolulu,P,L,1%,"18,113,859,888","2,189,120,700","2,116,335,200","1,976,862,300","2,113,941,200","2,123,084,700","2,041,210,900","  2,064,028,654","  2,267,349,192","1,957,803,288","1,655,848,500","1,939,653,100"
17,SW,TEX,TX,IAH,George Bush Intercontinental/Houston,Houston,P,L,1%,"13,931,113,850","1,734,461,801","1,704,234,283","1,575,814,863","1,616,771,558","1,526,026,442","1,567,763,301","  1,508,589,067","  1,538,313,681","1,392,447,797","1,419,506,530","1,394,087,275"
18,NM,SEA,WA,SEA,Seattle-Tacoma International,Seattle,P,L,1%,"12,505,846,592","1,574,603,394","1,386,358,331","1,290,550,381","1,357,043,620","1,394,058,765","1,606,699,377","  1,493,544,435","  1,382,526,673","1,417,257,003","1,417,256,461","1,062,019,260"
21,WP,SFO,CA,SFO,San Francisco International,San Francisco International Airport,P,L,1%,"12,407,127,318","1,245,416,930","1,191,012,764","1,197,193,176","1,243,832,338","1,304,432,000","1,494,163,650","  1,549,361,900","  2,077,838,550","1,658,043,650","1,593,458,550","1,479,574,260"
19,WP,PHX,AZ,PHX,Phoenix Sky Harbor International,Phoenix,P,L,1%,"12,398,163,922","1,436,921,968","1,375,903,366","1,300,826,546","1,239,062,238","1,213,458,732","1,220,692,246","  1,350,082,904","  1,422,404,414","1,452,498,650","1,556,032,326","1,602,767,850"
20,NM,DEN,CO,DEN,Denver International,Denver,P,L,1%,"11,948,991,228","1,314,752,910","1,259,729,786","1,204,617,700","1,209,106,208","1,237,718,352","1,248,170,052","  1,249,801,900","  1,284,267,268","1,422,797,170","1,525,921,744","1,526,177,306"
22,NM,SEA,OR,PDX,Portland International,Portland,P,L,1%,"11,101,370,602","1,126,448,683","1,137,027,109","1,161,531,992","1,134,697,344","1,062,285,290","1,089,318,211","  1,312,346,006","  1,425,284,168","1,460,999,130","1,493,307,208","1,435,755,635"
